LISTINO ARTICOLI DUE EFFE inc. — Codici Zucchetti
============================================================


### MOVEX (2138 articoli)
M01001 10010102 | SSE 815-K325 L=82,5
M01001 10010105 | CATENA INOX SSE 815 K450 RETTILINEA
M01001 10010106 | SSE 815-K600 L=152,4 MM
M01001 10010202 | CATENA SS 812 K325
M01001 10010205 | CATENA SS 812 K450
M01001 10010206 | CATENA SS 812 K600 RETTILINEA
M01001 100103-30 | BAR COVER R=3,4 Th=1/16"/1,5mm BIANCO
M01001 10010302 | SSM 815-K325 HB PINS L=82,5
M01001 10010303 | CATENA SSM 815 HB K330
M01003 100003-30 | BAR COVER 8,6x6,35 Th 1/16''/1,5mm
M01003 10030107 | CATENA INOX SSE 805 K750
M01003 10030207 | CATENA INOX SS 802 K750 RETTILINEA
M01003 100303-30 | BAR COVER 9,65x7,87 Th1/8''/3mm WHITE U
M01005 10050107 | CATENA INOX RETT. SSE 8157-K750 L=190,5
M01006 10060107 | CATENA INOX SSE 8157 GT K750
M01008 10080102 | SSE 881 MO K325 L=82,5 CURVILINEA
M01008 10080202 | CATENA SS 881MO K325
M01008 100803 | BAR CAP 28,7x23,37 SP=3/16"/5mm BIANCO m
M01008 10080302 | CATENA SSM 881MO K325 HB PINS  L=82.5
M01008 10080303 | CATENA INOX SSM 881 MO K330 CURVILINEA
M0101 10102 | PROFILO Z 20x2 VERDE
M0101 101300BC | BAR CAP 19,05x19,05 Sp3/8"/10mm
M01010 10100102 | CATENA INOX SSE 881 TAB K325 CURVILINEA
M01010 10100105 | CATENA INOX SSE 881 TAB K450 CURVILINEA
M01010 10100202 | SS 881 TAB K325
M01011 101103-30 | BAR CAP 16x19,05 SP=3/8"/10mm BIANCO UHm
M01013 101303 | COPRI PROFILO WHITE UHMW-PE L=20ft
M01013 101303C | BAR CAP 19,05x19,05 Th=3/8"/10mm
M01014 10140102 | CATENA INOX SSE 8811 TAB K325 CURVILINEA
M01014 10140105 | CATENA INOX SSE 8811 TAB K450
M01014 10140202 | CATENA INOX SS 8811 TAB K325 CURVILINEA
M01014 10140205 | CATENA INOX SS 8811 TAB K450 CURVILINEA
M01014 10140402 | CATENA INOX SSA 8811 TAB K325 CURVILINEA
M01016 10160102 | CATENA INOX SSE 8811 BEVEL K325
M01016 101602C | PROFILO J-LEG 19,05x3,2 VERDE
M01016 101603-30 | PROFILO J-LEG 19.05
M01016 101603C | PROFILO J-LEG 19,05x3,2
M01017 101703-30 | PROFILO J BIANCO ROTOLO
M01018 101800BC | PROFILO J-LEG 25,4x4,8 BLU LUB L=3000
M01018 10180107 | CATENA SSE 8857M K750 CURV.
M01018 101803C | PROFILE J-LEG 25,4x4,8 BIANCO PE L=3000
M01018 101805C | PROFILO J-LEG 25,4x4,8 BLU L=3000
M01019 10190107 | CATENA INOX SSE 8857 M GT K750
M01019 101903C | PROFILE J-LEG 24,38x7,9 WHITE UHMW-PE
M0102 10201 | PROFILO Z  NERO
M0102 10202 | PROFILO Z VERDE AD ESAURIMENTO
M01020 102003 | PROFILO J-LEG 23,1x12,7 BIANCO L=6000
M01020 102003C | PROFILO J-LEG 23,1x12,7 BIANCO L=3000
M01021 10210117 | STRAIGHT RUNNING CHAIN SSE 815 MINI K12N
M01021 10210118 | STRAIGHT RUNNING CSTRAIGHT RUNNING CHAIN
M01021 102103C | PROFILE J-LEG 25,4x3,3 WHITE UHMW-PE
M01023 102303 | PROFILO J-LEG 23,88x7,87 BIANCO L=6000
M01024 102402 | PROFILO VERDE 6MT
M01024 102403-30 | PROFILO J-LEG 23,9x6,35 BIANCO Ti-White
M01025 102501-30 | PROFILO J-LEG 38,10x3,2 NERO
M01025 102502C | PROFILO J-LEG 38,1x3,2 L=3000
M01025 102503-30 | PROFILO PE 1000 BIANCO
M01025 102503C | PROFILO PE 1000 BIANCO L=3000
M01026 102603 | PROFILO J-LEG 38,1x4,8 BIANCO L=6000
M01028 102803C | PROFILO J-LEG 38,1x3,3 BIANCO L3000
M01029 102903C | PROFILO 50,8X3,2 PE  BIANCO
M0103 10300B-30 | PROFILO Z-CLIP BLULUB
M0103 10301 | PROFILO LK NERO
M0103 10302 | PROFILO J VERDE MS.261
